FormCode	Subtype	ProcessingCenter	ExpectedProcessingTime	ServiceRequestDate	UpdatedByUSCIS
I-129	O - Extraordinary ability	VERMONT	3 Weeks - 2.5 Months	April 12, 2020	June 24, 2020
I-129	P - Athletes, artists, and entertainers	CALIFORNIA	3 Weeks - 2.5 Months	April 11, 2020	June 24, 2020
I-129	P - Athletes, artists, and entertainers	VERMONT	3 Weeks - 2.5 Months	April 12, 2020	June 24, 2020
I-129	Q - Cultural exchange v... the Irish Peace process	CALIFORNIA	2.5 Months - 4.5 Months	February 25, 2020	June 24, 2020
I-129	Q - Cultural exchange v... the Irish Peace process	VERMONT	2 Months - 4 Months	February 27, 2020	June 24, 2020
I-129	R - Religious occupation	CALIFORNIA	5.5 Months - 7.5 Months	November 25, 2019	June 24, 2020
I-129	R - Religious occupation	VERMONT	2 Months - 7 Months	November 29, 2019	June 24, 2020
I-129	TN - North American Fre...ent (NAFTA) professional	VERMONT	2 Months - 4 Months	February 27, 2020	June 24, 2020
I-129CW	CW-1 - CNMI-Only Nonimmigrant Transitional Worker	CALIFORNIA	3.5 Months - 5.5 Months	January 25, 2020	June 24, 2020
I-129F	K-1/K-2 - Not yet marri...) and/or dependent child	CALIFORNIA	5 Months - 7 Months	November 27, 2019	June 24, 2020
I-129F	K-1/K-2 - Not yet marri...) and/or dependent child	VERMONT	13.5 Months - 17.5 Months	January 14, 2019	June 24, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	CALIFORNIA	5 Months - 7 Months	November 27, 2019	June 24, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	NEBRASKA	6.5 Months - 8.5 Months	October 25, 2019	June 24, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	POTOMAC	5 Months - 7 Months	November 29, 2019	June 24, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	TEXAS	4 Months - 7 Months	November 29, 2019	June 24, 2020
I-130	Permanent resident fili... son or daughter over 21	CALIFORNIA	50.5 Months - 65.5 Months	January 22, 2015	June 24, 2020
I-130	Permanent resident fili... son or daughter over 21	NEBRASKA	18 Months - 23.5 Months	July 16, 2018	June 24, 2020
I-130	Permanent resident fili... son or daughter over 21	POTOMAC	9 Months - 11.5 Months	July 13, 2019	June 24, 2020
I-130	Permanent resident fili... son or daughter over 21	TEXAS	4 Weeks - 7 Months	November 29, 2019	June 24, 2020
I-130	Permanent resident fili... son or daughter over 21	VERMONT	53 Months - 69 Months	October 11, 2014	June 24, 2020
I-130	Permanent resident fili...spouse or child under 21	CALIFORNIA	10.5 Months - 13.5 Months	May 24, 2019	June 24, 2020
I-130	Permanent resident fili...spouse or child under 21	NEBRASKA	18 Months - 23.5 Months	July 16, 2018	June 24, 2020
I-130	Permanent resident fili...spouse or child under 21	POTOMAC	9 Months - 11.5 Months	July 13, 2019	June 24, 2020
I-130	Permanent resident fili...spouse or child under 21	TEXAS	4 Weeks - 7 Months	November 29, 2019	June 24, 2020
I-130	Permanent resident fili...spouse or child under 21	VERMONT	15.5 Months - 20 Months	November 03, 2018	June 24, 2020
I-130	U.S. citizen filing for a brother or sister	CALIFORNIA	106.5 Months - 138.5 Months	December 22, 2008	June 24, 2020
I-130	U.S. citizen filing for a brother or sister	NEBRASKA	10.5 Months - 13.5 Months	May 24, 2019	June 24, 2020
I-130	U.S. citizen filing for a brother or sister	POTOMAC	9 Months - 11.5 Months	July 13, 2019	June 24, 2020
I-130	U.S. citizen filing for a brother or sister	TEXAS	6 Months - 8 Months	November 05, 2019	June 24, 2020
I-130	U.S. citizen filing for a brother or sister	VERMONT	101 Months - 131.5 Months	July 27, 2009	June 24, 2020
I-130	U.S. citizen filing for... son or daughter over 21	CALIFORNIA	29 Months - 37.5 Months	May 25, 2017	June 24, 2020
I-130	U.S. citizen filing for... son or daughter over 21	CALIFORNIA	93 Months - 121 Months	June 08, 2010	June 24, 2020
I-130	U.S. citizen filing for... son or daughter over 21	NEBRASKA	10.5 Months - 13.5 Months	May 24, 2019	June 24, 2020
I-130	U.S. citizen filing for... son or daughter over 21	NEBRASKA	10.5 Months - 13.5 Months	May 24, 2019	June 24, 2020
I-130	U.S. citizen filing for... son or daughter over 21	POTOMAC	9 Months - 11.5 Months	July 13, 2019	June 24, 2020
I-130	U.S. citizen filing for... son or daughter over 21	POTOMAC	9 Months - 11.5 Months	July 13, 2019	June 24, 2020
I-130	U.S. citizen filing for... son or daughter over 21	TEXAS	6 Months - 8 Months	November 05, 2019	June 24, 2020
I-130	U.S. citizen filing for... son or daughter over 21	TEXAS	6 Months - 8 Months	November 05, 2019	June 24, 2020
I-130	U.S. citizen filing for... son or daughter over 21	VERMONT	47.5 Months - 62 Months	May 09, 2015	June 24, 2020
I-130	U.S. citizen filing for... son or daughter over 21	VERMONT	81.5 Months - 105.5 Months	September 18, 2011	June 24, 2020
I-130	U.S. citizen filing for...arent, or child under 21	NEBRASKA	10.5 Months - 13.5 Months	May 24, 2019	June 24, 2020
I-130	U.S. citizen filing for...arent, or child under 21	POTOMAC	7 Months - 9 Months	September 30, 2019	June 24, 2020
I-130	U.S. citizen filing for...arent, or child under 21	TEXAS	6 Months - 8 Months	November 05, 2019	June 24, 2020
I-130	U.S. citizen filing for...arent, or child under 21	VERMONT	19.5 Months - 25 Months	June 01, 2018	June 24, 2020
I-131	All other applicants for advance parole	CALIFORNIA	3.5 Months - 5.5 Months	January 25, 2020	June 24, 2020
I-131	All other applicants for advance parole	NATIONAL	4.5 Months - 6.5 Months	December 20, 2019	June 24, 2020
I-131	All other applicants for advance parole	NEBRASKA	4 Months - 5.5 Months	January 11, 2020	June 24, 2020
I-131	All other applicants for advance parole	TEXAS	3.5 Months - 5.5 Months	January 25, 2020	June 24, 2020
I-131	All other applicants for advance parole	VERMONT	6 Months - 8 Months	November 03, 2019	June 24, 2020
I-131	Haitian Refugee Immigra...lying for advance parole	NEBRASKA	4 Months - 5.5 Months	January 11, 2020	June 24, 2020
I-131	Haitian Refugee Immigra...lying for advance parole	NEBRASKA	4 Months - 5.5 Months	January 11, 2020	June 24, 2020
I-131	Haitian Refugee Immigra...lying for advance parole	TEXAS	3.5 Months - 5.5 Months	January 25, 2020	June 24, 2020
I-131	Haitian Refugee Immigra...lying for advance parole	TEXAS	3.5 Months - 5.5 Months	January 25, 2020	June 24, 2020
I-131	Permanent resident applying for a re-entry permit	NEBRASKA	4 Months - 5.5 Months	January 11, 2020	June 24, 2020
I-131	Permanent resident applying for a re-entry permit	TEXAS	4 Weeks - 5 Months	January 28, 2020	June 24, 2020
I-131	Refugee or asylee apply... refugee travel document	NEBRASKA	4 Months - 5.5 Months	January 11, 2020	June 24, 2020
I-131	Refugee or asylee apply... refugee travel document	TEXAS	4 Weeks - 5 Months	January 28, 2020	June 24, 2020
I-140	Advanced degree or exce...al Interest Waiver (NIW)	NEBRASKA	5.5 Months - 7.5 Months	November 12, 2019	June 24, 2020
I-140	Advanced degree or exce...al Interest Waiver (NIW)	TEXAS	5.5 Months - 7.5 Months	November 15, 2019	June 24, 2020
I-140	Advanced degree or exceptional ability (E21)	NEBRASKA	5 Months - 7 Months	November 28, 2019	June 24, 2020
I-140	Advanced degree or exceptional ability (E21)	TEXAS	9.5 Months - 12.5 Months	June 19, 2019	June 24, 2020
I-140	Extraordinary ability (E11)	NEBRASKA	5 Months - 7 Months	November 28, 2019	June 24, 2020
I-140	Extraordinary ability (E11)	TEXAS	11.5 Months - 15 Months	April 08, 2019	June 24, 2020
I-140	Multinational executive or manager (E13)	NEBRASKA	5 Months - 7 Months	November 28, 2019	June 24, 2020
I-140	Multinational executive or manager (E13)	TEXAS	7.5 Months - 9.5 Months	September 22, 2019	June 24, 2020
I-140	Outstanding professor or researcher (E12)	NEBRASKA	5 Months - 7 Months	November 28, 2019	June 24, 2020
I-140	Outstanding professor or researcher (E12)	TEXAS	5.5 Months - 7.5 Months	November 15, 2019	June 24, 2020
I-140	Schedule A Nurses	NEBRASKA	5 Months - 7 Months	November 28, 2019	June 24, 2020
I-140	Schedule A Nurses	TEXAS	5.5 Months - 7.5 Months	November 15, 2019	June 24, 2020
I-140	Skilled worker or professional (E31; E32)	NEBRASKA	5 Months - 7 Months	November 28, 2019	June 24, 2020
I-140	Skilled worker or professional (E31; E32)	TEXAS	5.5 Months - 7.5 Months	November 15, 2019	June 24, 2020
I-140	Unskilled worker (EW3)	NEBRASKA	5 Months - 7 Months	November 28, 2019	June 24, 2020
I-140	Unskilled worker (EW3)	TEXAS	11 Months - 14 Months	May 05, 2019	June 24, 2020
I-212	Readmission after deportation or removal	NEBRASKA	3 Months - 6 Months	December 29, 2019	June 24, 2020
I-360	All other special immigrants	CALIFORNIA	8 Months - 10.5 Months	August 16, 2019	June 24, 2020
I-360	All other special immigrants	NEBRASKA	4 Months - 7 Months	November 29, 2019	June 24, 2020
I-360	All other special immigrants	VERMONT	13.5 Months - 17.5 Months	January 14, 2019	June 24, 2020
I-360	Violence Against Women Act (VAWA)	VERMONT	18.5 Months - 24 Months	June 28, 2018	June 24, 2020
I-485	Based on an approved T Visa	VERMONT	16 Months - 22 Months	September 05, 2018	June 24, 2020
I-485	Based on an approved U Visa	VERMONT	10.5 Months - 26 Months	May 04, 2018	June 24, 2020
I-485	Based on grant of asylum more than 1 year ago	NEBRASKA	6.5 Months - 22 Months	September 04, 2018	June 24, 2020
I-485	Based on grant of asylum more than 1 year ago	TEXAS	6.5 Months - 22 Months	September 04, 2018	June 24, 2020
I-485	Based on refugee admission more than 1 year ago	NEBRASKA	8.5 Months - 13 Months	June 11, 2019	June 24, 2020
I-485	Employment-based adjustment applications	CALIFORNIA	7.5 Months - 29 Months	February 02, 2018	June 24, 2020
I-485	Employment-based adjustment applications	NEBRASKA	7.5 Months - 29 Months	February 02, 2018	June 24, 2020
I-485	Employment-based adjustment applications	TEXAS	7.5 Months - 29 Months	February 02, 2018	June 24, 2020
I-485	Under HRIFA, Indochines...ly Equity Act, or NACARA	NEBRASKA	14 Months - 207.5 Months	March 17, 2003	June 24, 2020
I-539	All other change-of-status applications	CALIFORNIA	10 Months - 13 Months	June 01, 2019	June 24, 2020
I-539	All other change-of-status applications	POTOMAC	2.5 Months - 4.5 Months	February 12, 2020	June 24, 2020
I-539	All other change-of-status applications	TEXAS	6 Months - 8 Months	November 03, 2019	June 24, 2020
I-539	All other change-of-status applications	VERMONT	7.5 Months - 9.5 Months	September 17, 2019	June 24, 2020
I-539	All other extension applications	CALIFORNIA	12 Months - 15.5 Months	March 24, 2019	June 24, 2020
I-539	All other extension applications	NATIONAL	2.5 Months - 4.5 Months	February 12, 2020	June 24, 2020
I-539	All other extension applications	POTOMAC	2.5 Months - 4.5 Months	February 12, 2020	June 24, 2020
I-539	All other extension applications	TEXAS	6 Months - 8 Months	November 03, 2019	June 24, 2020
I-539	All other extension applications	VERMONT	7.5 Months - 9.5 Months	September 17, 2019	June 24, 2020
I-539	Change Status to the J exchange visitor category	CALIFORNIA	2.5 Months - 4.5 Months	February 12, 2020	June 24, 2020
I-539	Change Status to the J exchange visitor category	POTOMAC	2.5 Months - 4.5 Months	February 12, 2020	June 24, 2020
I-539	Change Status to the J exchange visitor category	TEXAS	6 Months - 8 Months	November 03, 2019	June 24, 2020
I-539	Change Status to the J exchange visitor category	VERMONT	7.5 Months - 9.5 Months	September 17, 2019	June 24, 2020
I-539	Change of status to H dependents	CALIFORNIA	12 Months - 15.5 Months	March 24, 2019	June 24, 2020
I-539	Change of status to H dependents	TEXAS	6 Months - 8 Months	November 03, 2019	June 24, 2020
I-539	Change of status to H or L dependents	NEBRASKA	5 Months - 7 Months	December 01, 2019	June 24, 2020
I-539	Change of status to H or L dependents	VERMONT	7.5 Months - 9.5 Months	September 17, 2019	June 24, 2020
I-539	Change of status to L dependents	CALIFORNIA	6 Months - 8 Months	October 30, 2019	June 24, 2020
I-539	Change of status to L dependents	TEXAS	6 Months - 8 Months	November 03, 2019	June 24, 2020
I-539	Change status to the F ...ional student categories	CALIFORNIA	4.5 Months - 6.5 Months	December 16, 2019	June 24, 2020
I-539	Change status to the F ...ional student categories	POTOMAC	2.5 Months - 4.5 Months	February 12, 2020	June 24, 2020
I-539	Change status to the F ...ional student categories	TEXAS	6 Months - 8 Months	November 03, 2019	June 24, 2020
I-539	Change status to the F ...ional student categories	VERMONT	7.5 Months - 9.5 Months	September 17, 2019	June 24, 2020
I-539	Extension of stay as T nonimmigrant	VERMONT	4.5 Months - 6.5 Months	December 20, 2019	June 24, 2020
I-539	Extension of stay as U nonimmigrant	VERMONT	6.5 Months - 8.5 Months	October 20, 2019	June 24, 2020
I-539	Extension of stay for F...c or vocational students	CALIFORNIA	2.5 Months - 4.5 Months	February 12, 2020	June 24, 2020
I-539	Extension of stay for F...c or vocational students	POTOMAC	2.5 Months - 4.5 Months	February 12, 2020	June 24, 2020
I-539	Extension of stay for F...c or vocational students	TEXAS	6 Months - 8 Months	November 03, 2019	June 24, 2020
I-539	Extension of stay for F...c or vocational students	VERMONT	7.5 Months - 9.5 Months	September 17, 2019	June 24, 2020
I-539	Extension of stay for H and L dependents	NEBRASKA	5 Months - 7 Months	December 01, 2019	June 24, 2020
I-539	Extension of stay for H and L dependents	VERMONT	7.5 Months - 9.5 Months	September 17, 2019	June 24, 2020
I-539	Extension of stay for H dependents	CALIFORNIA	2.5 Months - 4.5 Months	February 12, 2020	June 24, 2020
I-539	Extension of stay for H dependents	TEXAS	6 Months - 8 Months	November 03, 2019	June 24, 2020
I-539	Extension of stay for J exchange visitors	CALIFORNIA	2.5 Months - 4.5 Months	February 12, 2020	June 24, 2020
I-539	Extension of stay for J exchange visitors	TEXAS	6 Months - 8 Months	November 03, 2019	June 24, 2020
I-539	Extension of stay for J exchange visitors	VERMONT	7.5 Months - 9.5 Months	September 17, 2019	June 24, 2020
I-539	Extension of stay for L dependents	CALIFORNIA	2.5 Months - 4.5 Months	February 12, 2020	June 24, 2020
I-539	Extension of stay for L dependents	TEXAS	6 Months - 8 Months	November 03, 2019	June 24, 2020
I-600	U.S. citizen filing to adopt an orphan	NATIONAL	2.5 Months - 4.5 Months	February 12, 2020	June 24, 2020
I-600A	U.S. citizen who plans ...opt a foreign-born child	NATIONAL	2.5 Months - 4.5 Months	February 12, 2020	June 24, 2020
I-601	Waiver of Grounds of Inadmissibility	NEBRASKA	3 Months - 6 Months	December 29, 2019	June 24, 2020
I-601A	Provisional Waiver of Unlawful Presence	NEBRASKA	11 Months - 14.5 Months	April 26, 2019	June 24, 2020
I-601A	Provisional Waiver of Unlawful Presence	POTOMAC	13.5 Months - 18 Months	January 10, 2019	June 24, 2020
I-612	Application for a waive... hardship or persecution	CALIFORNIA	6 Months - 8 Months	October 28, 2019	June 24, 2020
I-612	Application for a waive... hardship or persecution	VERMONT	4 Months - 6 Months	December 29, 2019	June 24, 2020
I-730	Petition for accompanyi...f a refugee or an asylee	NEBRASKA	11 Months - 14 Months	May 04, 2019	June 24, 2020
I-730	Petition for accompanyi...f a refugee or an asylee	TEXAS	19 Months - 24.5 Months	June 18, 2018	June 24, 2020
I-751	Removal of lawful perma...ful permanent residents)	CALIFORNIA	13 Months - 27.5 Months	March 15, 2018	June 24, 2020
I-751	Removal of lawful perma...ful permanent residents)	NEBRASKA	13 Months - 27.5 Months	March 15, 2018	June 24, 2020
I-751	Removal of lawful perma...ful permanent residents)	POTOMAC	13 Months - 19 Months	November 27, 2018	June 24, 2020
I-751	Removal of lawful perma...ful permanent residents)	TEXAS	13.5 Months - 18 Months	January 05, 2019	June 24, 2020
I-751	Removal of lawful perma...ful permanent residents)	VERMONT	11.5 Months - 17.5 Months	January 18, 2019	June 24, 2020
I-765	All other applications ...employment authorization	CALIFORNIA	8.5 Months - 11 Months	August 09, 2019	June 24, 2020
I-765	All other applications ...employment authorization	NATIONAL	4.5 Months - 6.5 Months	December 20, 2019	June 24, 2020
I-765	All other applications ...employment authorization	NEBRASKA	4.5 Months - 6.5 Months	December 13, 2019	June 24, 2020
I-765	All other applications ...employment authorization	POTOMAC	3 Months - 5 Months	January 28, 2020	June 24, 2020
I-765	All other applications ...employment authorization	TEXAS	2 Months - 5 Months	January 28, 2020	June 24, 2020
I-765	All other applications ...employment authorization	VERMONT	3.5 Months - 5.5 Months	January 19, 2020	June 24, 2020
I-765	Based on TPS for El Salvador [(c)(19), (a)(12)]	VERMONT	6.5 Months - 8 Months	October 27, 2019	June 24, 2020
I-765	Based on a pending I-48...ent application [(c)(9)]	CALIFORNIA	3.5 Months - 5.5 Months	January 25, 2020	June 24, 2020
I-765	Based on a pending I-48...ent application [(c)(9)]	NATIONAL	4.5 Months - 6.5 Months	December 19, 2019	June 24, 2020
I-765	Based on a pending I-48...ent application [(c)(9)]	NEBRASKA	4.5 Months - 6.5 Months	December 13, 2019	June 24, 2020
I-765	Based on a pending I-48...ent application [(c)(9)]	TEXAS	2 Months - 5 Months	January 28, 2020	June 24, 2020
I-765	Based on a pending I-48...ent application [(c)(9)]	VERMONT	6 Months - 8 Months	November 10, 2019	June 24, 2020
I-765	Based on a pending asylum application [(c)(8)]	NEBRASKA	3.5 Months - 5.5 Months	January 17, 2020	June 24, 2020
I-765	Based on a pending asylum application [(c)(8)]	POTOMAC	3 Months - 5 Months	January 31, 2020	June 24, 2020
I-765	Based on a pending asylum application [(c)(8)]	TEXAS	2 Months - 4 Months	March 12, 2020	June 24, 2020
I-765	Based on a request by a...cademic student [(c)(3)]	POTOMAC	3 Months - 5 Months	January 28, 2020	June 24, 2020
I-765	Based on a request by a...cademic student [(c)(3)]	TEXAS	2 Months - 5 Months	January 28, 2020	June 24, 2020
I-765	Based on an approved asylum application [(a)(5)]	NEBRASKA	4 Months - 6 Months	January 09, 2020	June 24, 2020
I-765	Based on an approved, c... filed, I-821D [(c)(33)]	VERMONT	6.5 Months - 8 Months	October 27, 2019	June 24, 2020
I-765	Haiti extension	CALIFORNIA	4.5 Months - 6.5 Months	December 26, 2019	June 24, 2020
I-765V	Abused spouse of an A, E-3, G, or H nonimmigrant	VERMONT	3 Months - 5 Months	January 28, 2020	June 24, 2020
I-800	Petition to Classify Co...as an Immediate Relative	NATIONAL	2.5 Months - 4.5 Months	February 12, 2020	June 24, 2020
I-800A	Application for Determi...rom a Convention Country	NATIONAL	2.5 Months - 4.5 Months	February 12, 2020	June 24, 2020
I-817	Voluntary departure under the family unity program	NATIONAL	4 Months - 11 Months	July 30, 2019	June 24, 2020
I-817	Voluntary departure under the family unity program	TEXAS	4 Months - 11 Months	July 30, 2019	June 24, 2020
I-821	El Salvador extension	NEBRASKA	4.5 Months - 6.5 Months	December 20, 2019	June 24, 2020
I-821	El Salvador extension	VERMONT	4 Months - 6 Months	January 05, 2020	June 24, 2020
I-821	El Salvador initial or late filing	NEBRASKA	4.5 Months - 6.5 Months	December 20, 2019	June 24, 2020
I-821	El Salvador initial or late filing	VERMONT	4 Months - 6 Months	January 05, 2020	June 24, 2020
I-821	Haiti extension	CALIFORNIA	3.5 Months - 5.5 Months	January 25, 2020	June 24, 2020
I-821	Haiti initial or late filing	CALIFORNIA	3.5 Months - 5.5 Months	January 25, 2020	June 24, 2020
I-821	Honduras and Nicaragua extension	NEBRASKA	4.5 Months - 6.5 Months	December 20, 2019	June 24, 2020
I-821	Honduras and Nicaragua extension	VERMONT	4 Months - 6 Months	January 05, 2020	June 24, 2020
I-821	Honduras and Nicaragua initial or late filing	NEBRASKA	4.5 Months - 6.5 Months	December 20, 2019	June 24, 2020
I-821	Honduras and Nicaragua initial or late filing	VERMONT	4 Months - 6 Months	January 05, 2020	June 24, 2020
I-821D	Renewal	NEBRASKA	3.5 Months - 5.5 Months	January 13, 2020	June 24, 2020
I-821D	Renewal	VERMONT	7 Months - 9 Months	October 05, 2019	June 24, 2020
I-821D	Request for Deferred Action	CALIFORNIA	31 Months - 40.5 Months	February 24, 2017	June 24, 2020
I-821D	Request for Deferred Action	NEBRASKA	6 Months - 8 Months	October 30, 2019	June 24, 2020
I-821D	Request for Deferred Action	VERMONT	6.5 Months - 8.5 Months	October 13, 2019	June 24, 2020
I-824	To request further acti... application or petition	CALIFORNIA	5.5 Months - 12 Months	July 11, 2019	June 24, 2020
I-824	To request further acti... application or petition	NATIONAL	5.5 Months - 12 Months	July 11, 2019	June 24, 2020
I-824	To request further acti... application or petition	NEBRASKA	5.5 Months - 12 Months	July 11, 2019	June 24, 2020
I-824	To request further acti... application or petition	TEXAS	5.5 Months - 12 Months	July 11, 2019	June 24, 2020
I-824	To request further acti... application or petition	VERMONT	5.5 Months - 12 Months	July 11, 2019	June 24, 2020
I-90	10-year renewal	POTOMAC	11 Months - 12 Months	July 07, 2019	June 24, 2020
I-90	Initial issuance or replacement	POTOMAC	4.5 Months - 11.5 Months	July 19, 2019	June 24, 2020
I-914	Provide temporary immig...ns, and immediate family	VERMONT	20 Months - 28 Months	March 10, 2018	June 24, 2020
I-918	Provide temporary immig...ting List Determination)	NEBRASKA	56 Months - 56.5 Months	October 17, 2015	June 24, 2020
I-918	Provide temporary immig...ting List Determination)	VERMONT	56 Months - 56.5 Months	October 17, 2015	June 24, 2020
I-929	Family member of U nonimmigrant	VERMONT	14.5 Months - 19 Months	December 09, 2018	June 24, 2020
N-565	U.S. citizen applying f... citizenship certificate	NEBRASKA	6 Months - 8 Months	October 29, 2019	June 24, 2020
N-565	U.S. citizen applying f... citizenship certificate	TEXAS	6 Months - 8 Months	October 30, 2019	June 24, 2020
